Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),WQI
18.0,8.4,7.7,0.0,227.5,1.6956156086751528,4.840242308167575,6.1224928095143865,5.465948207931988,47.49825901
19.0,8.5,7.7,1.0,305.0,1.9947003132247452,5.418320158942733,6.415096959171596,5.676753802268282,58.71409555
19.0,8.1,7.8,1.3,367.5,0.7884573603642702,5.879135362134062,6.601230118728877,5.564520407322694,52.12827035
18.0,5.2,8.0,3.5,0.0,0.0,0.0,0.0,6.0063531596017325,80.65530859
18.0,6.45,8.25,5.1,0.0,0.5007752879124893,0.0,0.0,6.042632833682381,83.7904557
20.5,6.8,8.15,2.75,0.0,0.18232155679395465,0.0,0.0,5.583496308781699,53.00542019
11.0,8.5,7.6,0.2,0.0,0.0,0.0,0.0,5.081404364984463,32.12328853
11.0,8.7,7.65,0.15,0.0,0.0,0.0,0.0,5.075173815233827,31.9303865
11.0,8.8,7.5,0.2,0.0,0.0,0.0,0.0,5.059425458265688,31.4368034
11.0,8.1,7.75,1.0,0.0,0.0,0.0,0.0,4.66814498514948,21.36861159
19.0,6.4,7.35,6.85,0.0,0.7654678421395714,0.0,0.0,6.398594934535208,119.4908923
20.5,7.1,8.05,0.95,0.0,0.0,0.0,0.0,5.697093486505405,59.24824206
6.15,9.05,7.75,0.8,0.0,0.0,0.0,0.0,4.948759890378168,28.19991171
6.25,9.0,7.7,0.9,0.0,0.0,0.0,0.0,5.111987788356544,33.14664087
6.0,9.05,7.5,1.05,0.0,0.0,0.0,0.0,4.966335035199676,28.69777674
8.4,8.9,7.9,0.85,0.0,0.0,0.0,0.0,4.890349128221754,26.62460044
8.75,8.8,7.7,1.1,0.0,0.0,0.0,0.0,4.894101477840304,26.72654007
10.7,7.85,7.95,0.85,0.0,0.0,0.0,0.0,5.62040086571715,54.88771498
10.75,8.0,7.9,1.1,0.0,0.0,0.0,0.0,5.757323241584231,62.91211418
12.65,9.05,7.65,0.95,0.0,0.0,0.0,0.0,5.444579873526289,46.12013687
13.05,8.3,7.55,1.35,0.0,0.0,0.0,0.0,5.4638318050256105,47.00388749
12.7,8.75,7.5,0.85,0.0,0.0,0.0,0.0,5.3612921657094255,42.4443376
